年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,07,65+,彰化縣,3
2007,07,65+,宜蘭縣,8
2007,07,65+,新北市,72
2007,07,65+,新竹市,25
2007,07,65+,新竹縣,11
2007,07,65+,花蓮縣,14
2007,07,65+,苗栗縣,19
2007,07,65+,高雄市,82
2007,07,65+,台北市,120
2007,07,65+,台中市,60
2007,07,65+,台南市,29
2007,07,65+,台東縣,6
2007,07,65+,雲林縣,3
2007,07,65+,基隆市,9
2007,07,7-12,嘉義市,4
2007,07,7-12,嘉義縣,4
2007,07,7-12,桃園市,36
2007,07,7-12,屏東縣,26
2007,07,7-12,南投縣,3
2007,07,7-12,彰化縣,4
2007,07,7-12,宜蘭縣,3
2007,07,7-12,新北市,63
2007,07,7-12,新竹市,19
2007,07,7-12,新竹縣,5
2007,07,7-12,花蓮縣,7
2007,07,7-12,苗栗縣,6
2007,07,7-12,高雄市,75
2007,07,7-12,台北市,69
2007,07,7-12,台中市,53
2007,07,7-12,台南市,18
2007,07,7-12,台東縣,1
2007,07,7-12,雲林縣,10
2007,07,7-12,基隆市,8
2007,08,0-6,嘉義市,37
2007,08,0-6,嘉義縣,26
2007,08,0-6,桃園市,179
2007,08,0-6,屏東縣,99
2007,08,0-6,南投縣,58
2007,08,0-6,彰化縣,32
2007,08,0-6,宜蘭縣,63
2007,08,0-6,新北市,227
2007,08,0-6,新竹市,230
2007,08,0-6,新竹縣,69
2007,08,0-6,花蓮縣,28
2007,08,0-6,苗栗縣,51
2007,08,0-6,高雄市,443
2007,08,0-6,台北市,383
2007,08,0-6,台中市,281
2007,08,0-6,台南市,94
2007,08,0-6,台東縣,31
2007,08,0-6,雲林縣,45
2007,08,0-6,基隆市,35
2007,08,13-18,嘉義市,9
2007,08,13-18,嘉義縣,5
2007,08,13-18,桃園市,53
2007,08,13-18,屏東縣,34
2007,08,13-18,南投縣,19
2007,08,13-18,彰化縣,6
2007,08,13-18,宜蘭縣,21
2007,08,13-18,新北市,72
2007,08,13-18,新竹市,53
2007,08,13-18,新竹縣,29
2007,08,13-18,花蓮縣,7
2007,08,13-18,苗栗縣,24
2007,08,13-18,高雄市,134
2007,08,13-18,台北市,101
2007,08,13-18,台中市,85
2007,08,13-18,台南市,55
2007,08,13-18,台東縣,17
2007,08,13-18,雲林縣,12
2007,08,13-18,基隆市,16
2007,08,19-64,嘉義市,40
2007,08,19-64,嘉義縣,85
2007,08,19-64,桃園市,499
2007,08,19-64,屏東縣,251
2007,08,19-64,南投縣,127
2007,08,19-64,彰化縣,73
2007,08,19-64,宜蘭縣,146
2007,08,19-64,新北市,634
2007,08,19-64,新竹市,424
2007,08,19-64,新竹縣,202
2007,08,19-64,花蓮縣,57
2007,08,19-64,苗栗縣,179
2007,08,19-64,高雄市,978
2007,08,19-64,台北市,825
2007,08,19-64,台中市,639
2007,08,19-64,台南市,434
2007,08,19-64,台東縣,72
2007,08,19-64,雲林縣,90
2007,08,19-64,基隆市,96
2007,08,65+,嘉義市,8
2007,08,65+,嘉義縣,9
2007,08,65+,桃園市,63
2007,08,65+,屏東縣,20
2007,08,65+,南投縣,26
2007,08,65+,彰化縣,13
2007,08,65+,宜蘭縣,27
2007,08,65+,新北市,96
2007,08,65+,新竹市,54
2007,08,65+,新竹縣,17
2007,08,65+,花蓮縣,7
2007,08,65+,苗栗縣,28
2007,08,65+,高雄市,130
2007,08,65+,台北市,137
2007,08,65+,台中市,82
2007,08,65+,台南市,51
2007,08,65+,台東縣,10
2007,08,65+,雲林縣,12
2007,08,65+,基隆市,9
2007,08,7-12,嘉義市,17
2007,08,7-12,嘉義縣,13
2007,08,7-12,桃園市,56
2007,08,7-12,屏東縣,36
2007,08,7-12,南投縣,19
2007,08,7-12,彰化縣,10
2007,08,7-12,宜蘭縣,30
2007,08,7-12,新北市,80
2007,08,7-12,新竹市,48
2007,08,7-12,新竹縣,21
2007,08,7-12,花蓮縣,9
2007,08,7-12,苗栗縣,16
2007,08,7-12,高雄市,142
2007,08,7-12,台北市,117
2007,08,7-12,台中市,66
2007,08,7-12,台南市,38
2007,08,7-12,台東縣,12
2007,08,7-12,雲林縣,8
2007,08,7-12,基隆市,10
2007,09,0-6,嘉義市,14
2007,09,0-6,嘉義縣,12
2007,09,0-6,桃園市,171
2007,09,0-6,屏東縣,42
2007,09,0-6,南投縣,40
2007,09,0-6,彰化縣,13
2007,09,0-6,宜蘭縣,41
2007,09,0-6,新北市,140
2007,09,0-6,新竹市,143
2007,09,0-6,新竹縣,22
2007,09,0-6,花蓮縣,4
2007,09,0-6,苗栗縣,25
2007,09,0-6,高雄市,230
2007,09,0-6,台北市,319
2007,09,0-6,台中市,197
2007,09,0-6,台南市,96
2007,09,0-6,台東縣,11
2007,09,0-6,雲林縣,34
2007,09,0-6,基隆市,16
2007,09,13-18,嘉義市,6
2007,09,13-18,嘉義縣,7
2007,09,13-18,桃園市,43
2007,09,13-18,屏東縣,14
2007,09,13-18,南投縣,19
2007,09,13-18,彰化縣,3
2007,09,13-18,宜蘭縣,17
2007,09,13-18,新北市,77
2007,09,13-18,新竹市,23
2007,09,13-18,新竹縣,10
2007,09,13-18,花蓮縣,2
2007,09,13-18,苗栗縣,10
2007,09,13-18,高雄市,68
2007,09,13-18,台北市,65
2007,09,13-18,台中市,47
2007,09,13-18,台南市,26
