縣市別,鄉鎮別,年別,治療成功率
10005,南庄鄉,2018,60
10005,後龍鎮,2018,80
10005,苑裡鎮,2018,63.6
10005,苗栗市,2018,71.4
10005,泰安鄉,2018,72.7
10005,通霄鎮,2018,91.7
10005,造橋鄉,2018,85.7
10005,獅潭鄉,2018,50
10005,銅鑼鄉,2018,0
10005,頭份市,2018,70
10005,頭屋鄉,2018,100
10005,三義鄉,2017,100
10005,三灣鄉,2017,75
10005,大湖鄉,2017,100
10005,公館鄉,2017,100
10005,竹南鎮,2017,87
10005,卓蘭鎮,2017,80
10005,南庄鄉,2017,0
10005,後龍鎮,2017,93.3
