確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,23,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2025,23,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2025,23,桃園市,蘆竹區,M,0,70+,2,68000,68000050
19SC,2025,24,金門縣,金湖鎮,F,0,70+,1,09020,09020030
19SC,2025,24,新竹縣,湖口鄉,F,0,70+,1,10004,10004050
19SC,2025,24,新竹縣,竹東鎮,F,0,70+,1,10004,10004020
19SC,2025,24,彰化縣,溪湖鎮,M,0,70+,1,10007,10007110
19SC,2025,24,嘉義縣,六腳鄉,M,0,70+,2,10010,10010080
19SC,2025,24,屏東縣,高樹鄉,M,0,70+,1,10013,10013110
19SC,2025,24,台東縣,成功鎮,F,0,70+,1,10014,10014020
19SC,2025,24,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
19SC,2025,24,花蓮縣,新城鄉,F,0,70+,1,10015,10015040
19SC,2025,24,基隆市,中山區,F,0,70+,1,10017,10017050
19SC,2025,24,基隆市,安樂區,M,0,70+,1,10017,10017060
19SC,2025,24,新竹市,香山區,M,0,70+,1,10018,10018030
19SC,2025,24,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025,24,台北市,中正區,M,0,70+,2,63000,63000050
19SC,2025,24,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025,24,高雄市,前鎮區,M,0,70+,1,64000,64000090
19SC,2025,24,高雄市,小港區,M,0,25~29,1,64000,64000110
19SC,2025,24,高雄市,小港區,F,0,60~64,1,64000,64000110
19SC,2025,24,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2025,24,高雄市,美濃區,F,0,70+,1,64000,64000310
19SC,2025,24,高雄市,阿蓮區,M,0,65~69,1,64000,64000230
19SC,2025,24,新北市,三芝區,M,0,70+,1,65000,65000210
19SC,2025,24,新北市,三重區,F,0,70+,1,65000,65000020
19SC,2025,24,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2025,24,新北市,五股區,M,0,70+,1,65000,65000150
19SC,2025,24,新北市,新店區,F,0,70+,1,65000,65000060
19SC,2025,24,台中市,南區,M,0,60~64,1,66000,66000030
19SC,2025,24,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025,24,台中市,烏日區,F,0,70+,1,66000,66000230
19SC,2025,24,台中市,烏日區,M,0,70+,1,66000,66000230
19SC,2025,24,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2025,24,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2025,24,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2025,24,桃園市,龜山區,M,0,70+,1,68000,68000070
